-120.171,39.384,Lakeside,NF,530.587.3558/530.265.4531,mid may-late sep, ,40,5748,NH ND 35ft VT DW NS RS ,CA,3.9,N,Truckee,,
-118.882,36.764,Landslide,NF,559.338.2251/559.784.1500, , ,9,5823,NH ND 16ft VT DW NS NR ,CA,2.3,SE,Hume,,
-116.261,32.722,Lark Canyon,BLM, , , ,15,3784,NH ND VT NW NS NR L$ ,CA,4.1,N,Boulevard,,
-120.295,41.826,Lassen Creek,NF,530.279.6116/530.233.5811,mid may-mid oct, ,6,5351,NH ND VT NW NS NR N$ ,CA,39.8,NE,Canby,,
-121.203,40.335,Last Chance Creek,CP,916.386.5164, , ,12,4522,NH ND VT DW NS ,CA,2.5,NE,Chester,,
-120.348,40.135,Laufman Family .,NF,530.836.2575/530.283.2050,mid apr-mid oct, ,6,5102,NH ND VT NW NS NR N$ ,CA,2.8,SE,Milford,,
-121.337,41.403,Lava Camp,NF,530.299.3215/530.233.5811, , ,12,4423,NH ND 32ft VT NW NS NR N$ ,CA,25,NW,Adin,,
-118.676,35.88,Leavis Flat,NF,559.539.2607/559.784.1500,all year, ,9,3084,NH ND 16ft VT DW NS RS ,CA,,,,,
-119.552,38.333,Leavitt Meadows,NF,760.932.7070/775.331.6444, , ,18,7444,NH ND 40ft VT DW NS NR ,CA,13.2,S ,Walker,,
-119.899,36.262,Lemoore Naval Air Station Military,MIL,559.998.0837, ,military only - do not use our lat/lon - contact them for directions and info, , ,RS ,CA,7,SW,Lemoore,,
-118.933,34.049,Leo Carrillo State Park,SP,818 880.0363,all year,Store - tidepools - dogs on leash - shady area,127, ,NH DP 31ft FT DW SH RS ,CA,25.4,W,Santa Monica,,
-120.417,39.132,Lewis,NF,530.367.2224/530.265.4531,mid may-mid sep, ,40,5318,NH ND 30ft FTVT DW NS RS ,CA,22.9,E,Foresthill,,
-123.072,38.727,Liberty Glen, , , , , , ,NH DP DW SH RS ,CA,13.6,NW,Healdsburg,,
-120.503,39.93,Lightning Tree Family .,NF,530.836.2575/530.283.2050,mid may-late sep, ,40,5853,NH DP VT DW NS RS PA ,CA,8.5,N ,Portola,,
-118.976,37.007,Lily Pad,UTIL, , , , ,6568,NH ND 35ft VT DW NS L$ ,CA,20,E,Shaver Lake,,
-121.518,36.01,Limekiln State Park,SP,831.667.2403,mid may-late dec, ,31, ,NH ND 24ft FT DW SH RS ,CA,24.2,SE,Big Sur,,
-121.567,39.677,Limesaddle - Lake Oroville State Rec Area,SRA,530.538.2200,all year, , , ,NH RS ,CA,11.3,N ,Oroville,,
-118.478,35.963,Limestone,NF,760.379.5646/559.784.1500, , ,22,3776,NH ND 30ft VT DW NS NR ,CA,14.7,N ,Kernville,,
-120.643,39.413,Lindsey Lake,NF,530.288.3231/530.265.4531, , ,10,6302,NH ND NS NR ,CA,22.5,NE,Nevada City,,
-119.164,34.562,Lions Canyon, , , , , ,3038,,CA,9,NE,Ojai,,
-120.97,39.731,Little Beaver,NF,530.534.6500/530.283.2050, , ,120,5118,NH ND 40ft FT DW NS NR ,CA,3.5,N,La Porte,,
-122.986,39.895,Little Doe,NF,707.983.6118/530.934.3316,mid apr-mid nov, ,13,3727,NH ND VT NW NS NR L$ ,CA,15.6,NE,Covelo,,
-119.336,37.4,Little Jackass,NF,559.877.2218/559.297.0706, , ,6,4944,NH ND 20ft VT NW NS NR N$ ,CA,,,,,
-117.83,34.348,Little Jimmy,NF,818.899.1900/626.574.1613, , ,16,7490,NH ND NS NR ,CA,23.3,NE,La Canada,,
-120.514,39.49,Little Lasier Meadow,NF,530.994.3401/530.265.4531,early jun-mid oct, ,12,6526,NH DP NS RS ,CA,10.5,SW,Sierraville,,
-121.26,39.782,Little North Fork,NF,530.534.6500/530.283.2050, , ,6,3799,NH ND 16ft VT NW NS NR N$ ,CA,12.1,NE,Berry Creek,,
-122.576,39.286,Little Stony,NF,530.934.1250/530.934.3316, ,RVs not recommended,13, ,NH ND NS NR ,CA,6.4,S ,Stonyford,,
-117.557,33.54,Live Oak - Caspers Wilderness Co Park,CP,949.923.2210, , , , ,E DP DW SH ,CA,6.6,NE,San Juan Capis,,
-118.46,35.702,Live Oak North & South,NF,760.379.5646/559.784.1500,all year, ,90,2690,NH ND 30ft FT DW SH RS ,CA,0.4,SW,Wofford Heights,,
-121.632,39.276,Live Oak Riverfront Park,CP,530.822.7410, , ,21, ,W  ND PT DW NS NR L$ ,CA,,,Live Oak,,
-121.447,39.529,Loafer Creek - Lake Oroville State Rec Area,SRA,530.538.2200,all year, , , ,NH DP RS ,CA,5.9,E,Oroville,,
-120.599,39.299,Lodgepole,UTIL,916.386.5164, , ,35,5742,NH ND NS ,CA,2.8,W,Cisco,,
-118.728,36.605,Lodgepole - Sequoia National Park,NP,559.565.4487,all year, , ,6772,NH DP 40ft FT DW SH RS PA ,CA,3.2,NE,Giant Forest,,
-120.024,38.476,Lodgepole Overflow,NF,209.795.1381/209.533.3671, , ,30,7365,NH ND VT DW NS NR L$ ,CA,1.1,NE,Bear Valley,,
-120.66,39.565,Loganville,NF,530.288.3231/530.265.4531,mid apr-mid oct, ,19,4072,NH ND VT DW NS RS ,CA,1.4,W,Sierra City,,
-120.131,39.464,Logger,NF,530.587.3558/530.265.4531,mid may-late sep, ,252,6033,NH DP 50ft VT DW NS RS ,CA,9.8,N,Truckee,,
-118.184,36.598,Lone Pine,NF,760.876.6200/760.873.2400,early apr-late oct, ,42,5869,NH ND 35ft VT DW NS RS ,CA,6.8,W,Lone Pine,,
-120.385,38.864,Lone Rock,NF,530.644.2349/530.622.5061, , ,5,4974,NH ND VT NW NS NR N$ ,CA,7.8,NW,Kyburz,,
-120.613,40.192,Lone Rock,NF,530.283.0555/530.283.2050,mid may-mid oct, ,38,5052,NH ND 45ft VT DW NS NR ,CA,14.4,NE,Taylorsville,,
-120.58,40.178,Long Point,NF,530.283.0555/530.283.2050,early jun-late aug, ,38,5062,NH ND 30ft VT DW NS RS PA ,CA,15.4,NE,Taylorsville,,
-118.161,35.844,Long Valley,BLM,661.391 6000, , ,11,5361,NH VT NW NR N$ ,CA,,,,,
-120.073,39.589,Lookout,NF,775.882.2766/775.331.6444, , ,30,6755,22ft VT DW NR ,CA,14.4,W,Reno,,
-120.316,38.981,Loon Lake,NF,530.644.2349/530.622.5061,mid jun-late sep, ,53,6496,NH ND 35ft VT DW NS RS ,CA,21,NE,Pollock Pines,,
-120.457,35.19,Lopez Lake Rec Area,CP,805.788.2381, , , , ,E DP DW SH ,CA,9,NE,Arroyo Grande,,
-118.05,33.796,Los Alamitos Army Military,MIL,562.795.2124, ,military only - do not use our lat/lon - contact them for directions and info, , ,RS ,CA,1.4,E,Los Alamitos,,
-118.809,34.703,Los Alamos,NF,661.296.9710/626.574.1613, , ,93,2884,NH DP 40ft FT DW NS NR ,CA,6.9,S ,Gorman,,
-120.939,36.987,Los Banos Creek - San Luis Reservoir,SRA,209.826.1197,all year, ,15, ,NH DP 30ft DW SH NR ,CA,19,S ,Gustine,,
-120.573,36.232,Los Gatos Creek Park,CP,559.488.3004, , ,44,1676,NH ND NS ,CA,13.5,NW,Coalinga,,
-119.8,34.54,Los Prietos,NF,805.967.3481/805.961.5778,early mar-mid oct, ,37, ,E ND 22ft DW NS RS ,CA,10.1,NW,Santa Barbara,,
-120.048,37.821,Lost Claim,NF,209.962.7825/209.533.3671, , ,10,3061,NH ND 22ft VT DW NS NR ,CA,10,E,Groveland,,
-119.733,36.975,Lost Lake,CP,559.488.3004, , ,42, ,36ft FT DW ,CA,15.9,N,Fresno,,
-123.143,41.595,Lovers Camp,NF, , , ,8,4300,NH ND NS NR ,CA,15.6,W,Fort Jones,,
-119.924,38.612,Lower Blue Lake,UTIL, , , ,16,8140,NH ND 30ft VT DW NS ,CA,40.3,S ,Tahoe City,,
-121.215,39.902,Lower Bucks,NF,530.283.0555/530.283.2050, , ,7,5079,NH ND 26ft VT NW NS NR ,CA,14.4,W,Quincy,,
-119.384,37.413,Lower Chiquito,NF,559.877.2218/559.297.0706, , ,9,4902,NH ND 25ft VT NW NS NR ,CA,50.8,NE,Fresno,,
-119.009,37.721,Lower Deadman,NF,760.647.3045/760.873.2400, , ,15,7808,NH ND VT NW NS NR N$ ,CA,5.4,N ,Mammoth Lakes,,
-122.375,38.809,Lower Hunting Creek  - Knoxville Rec Area,BLM, , , ,5, ,NH ND VT NW NS NR ,CA,17,SE,Clearlake,,
-119.158,37.928,Lower Lee Vining,NF,760.647.3045/760.873.2400, , ,60,7871,NH ND 40ft PT NW NS NR ,CA,2.9,SW,Lee Vining,,
-120.236,39.486,Lower Little Truckee,NF,530.994.3401/530.265.4531,mid apr-mid oct, ,15,6148,NH ND 25ft VT DW NS RS ,CA,10,SE,Sierraville,,
-122.825,39.443,Lower Nye,NF,707.275.2361/530.934.3316,mid may-mid nov, ,6,3317,NH ND NW NS NR N$ ,CA,19.8,N,Upper Lake,,
-118.493,36.066,Lower Peppermint,NF,559.539.2607/559.784.1500, , ,17,5292,NH ND 22ft VT DW NS NR ,CA,21.8,N ,Kernville,,
-118.724,37.471,Lower Pine Grove,NF,760.873.2500/760.873.2400, , ,11,9400,NR ,CA,19.5,W,Bishop,,
-119.571,37.742,Lower Pines - Yosemite National Park,NP,209.372.0200,early apr-late oct, ,60,4091,NH 35ft FT DW NS RS PA ,CA,1.3,E,Yosemite Village,,
-120.878,41.293,Lower Rush Creek,NF,530.299.3215/530.233.5811,all year, ,10,4751,NH ND 30ft VT DW NS NR N$ ,CA,7.7,NE,Adin,,
-122.352,40.843,Lower Salt Creek,NF,530.275.1587,all year,dispersed, , ,NH ND 30ft NW NS NR N$ ,CA,4.5,S ,Lakehead,,
-119.323,38.17,Lower Twin Lake,NF,760.932.7070/775.331.6444,mid may-mid sep, ,17,7234,NH ND 40ft FT DW NS RS ,CA,7.7,SW,Bridgeport,,
-120.049,37.839,Lumsden,NF,209.962.7825/209.533.3671,all year, ,10, ,NH ND 22ft VT NW NS NR N$ ,CA,9.9,E,Groveland,,
-120.032,37.848,Lumsden Bridge,NF,209.962.7825/209.533.3671,all year, ,9,1545,NH ND 22ft VT NW NS NR N$ ,CA,10.9,E,Groveland,,
-119.207,38.034,Lundy Lake Park,CP,760.932.5231, , ,50,7652,NH ND 24ft PT NW NS L$ ,CA,7.1,NW,Lee Vining,,
-117.667,34.329,Lupine,NF,661.296.9710/626.574.1613,all year, ,11,6575,NH 16ft VT NW RS ,CA,2.9,SW,Wrightwood,,
-122.201,38.509,Lupine Shores - Lake Berryessa - USBR,BOR,707.966.9088, , , , ,,CA,15.3,N,Napa,,
-119.544,37.308,Lupine/Cedar Bluff,NF,559.877.2218/559.297.0706, , ,113,3448,NH DP 36ft FT DW NS NR ,CA,5.9,E,Oakhurst,,
-123.794,39.493,MacKerricher State Park,SP,707.964.9112,mid may-late dec, ,148, ,NH DP 35ft FT DW SH RS ,CA,12.8,N,Mendocino,,
-123.466,40.403,Mad River,NF,707.574.6233/707.442.1721, , ,40,2602,NH ND 30ft NS NR ,CA,38.8,E,Fortuna,,
-122.094,40.924,Madrone,NF,530.275.1587/530.226.2500, , ,11,1693,NH ND 16ft VT NW NS NR ,CA,28.1,NE,Redding,,
-117.068,36.231,Mahogany Flat - Death Valley National Park,NP,760.786.3200,ealry mar-late nov,high clearance - 4 wheel drive,10,8200,NH ND VT NW NS NR N$ ,CA,,,,,
-118.483,35.643,Main Dam,NF,760.379.5646/559.784.1500, , ,82,2497,NH DP 45ft FTVT DW NS NR ,CA,1.8,N ,Lake Isabella,,
-122.708,39.303,Main Letts,NF,530.934.1250/530.934.3316, , ,18,4557,NH ND NS NR ,CA,10,SW,Stonyford,,
-120.9,39.373,Malakoff Diggins State Park,SP,530.265.2740,all year, , ,3353,NH ND 24ft FT DW NS RS ,CA,9.9,NE,Nevada City,,
-118.714,34.097,Malibu Creek - State Park,SP,818.880.0367,all year, ,63, ,NH DP 32ft FT DW SH RS ,CA,8.4,NE,Malibu,,
-119.337,37.344,Mammoth Pool,NF,559.877.2218/559.297.0706,mid may-late sep, ,47,3652,NH ND 40ft VT DW NS RS ,CA,12.4,NE,North Fork,,
-123.699,38.981,MANC,Manchester State Park,SP,707.882.2463,mid may-late dec, ,48, ,NH DP 30ft DW NS RS ,CA,1,NW,Manchester,
-117.631,34.265,Manker,NF,626.335.1251/626.574.1613,mid may-mid oct, ,21,6043,NH ND 22ft FT DW NS NR ,CA,12.7,NE,Claremont,,
-121.853,36.92,Manresa State Beach,SP,831.761.1795,early mar-late dec, ,64, ,NH ND FT DW SH RS ,CA,4.7,SE,Aptos,,
-120.505,37.978,Manzanita - Tuttletown Area - New Melones Lake,BOR,209.536.9094,all year, ,60, ,NH DP DW SH RS PA ,CA,7,SW,Columbia,,
-122.267,38.599,Manzanita Canyon - Lake Berryessa - USBR,BOR,707.966.9088, , , , ,,CA,20.9,N,Napa,,
-121.561,40.531,Manzanita Lake - Lassen Volcanic National Park,NP,530.595.6121,early jun-mid oct, ,179,5922,NH DP 45ft FT DW NS RS PA ,CA,6.2,E,Viola,,
-117.25,33.893,March ARB Military,MIL,951.655.2816, ,military only - do not use our lat/lon - contact them for directions and info, ,1509,RS ,CA,,,,,
-119.216,34.88,Marian,NF,661.245.3731/805.961.5778, , ,5,6634,NH ND 16ft NW NS NR ,CA,4.1,NW,Pine Mt Club,,
-122.77,40.84,Mariners Roost,NF,530.275.1587/530.226.2500, , ,7,2441,NR ,CA,10.6,S ,Trinity Center,,
-116.732,33.792,Marion Mountain,NF,909.382.2922/909.382.2600,early jun-late aug, ,24,6585,NH ND 15ft VT DW NS RS PA L$ ,CA,3.3,N ,Idyllwild,,
-119.944,37.465,Mariposa Fairgrounds,CP,209.966.2432, , , ,1847,E DP DW SH ,CA,1.8,SE,Mariposa,,
-119.776,38.698,Markleeville,NF,775.882.2766/775.331.6444, , ,10,5577,NH ND 20ft VT DW NS NR ,CA,0.3,NE,Markleeville,,
-118.977,37.077,Marmot Rock, , , ,small rvs, ,8271,NH ND VT DW NS ,CA,18.8,E,Shaver Lake,,
-122.205,41.796,Martins Dairy,NF,530.398.4391/530.842.6131, , ,9,6060,VT DW NR ,CA,17.3,E,Montague,,
-120.121,39.323,Martis Creek Lake, , , , , ,5827,30ft VT DW ,CA,3.3,E,Truckee,,
-122.807,40.732,Mary Smith,NF,530.275.1587/530.226.2500, , ,18,1952,NH ND FTVT DW NS NR ,CA,2.3,N,Lewiston,,
-123.213,41.188,Matthews,NF,530.468.5351/530.842.6131, , ,16,1831,NH ND NS NR ,CA,24.9,SW,Etna,,
-124.356,40.289,Mattole Beach,BLM, , , ,14, ,NH ND VT DW NS NR ,CA,4.4,SW,Petrolia,,
-114.534,33.671,Mayflower Park,CP,760.922.4665, , ,157, ,E DP 40ft FT DW SH L$ ,CA,4.9,NE,Blythe,,
-121.646,41.017,McArthur - Burney Falls State Park,SP,530.335.2777,mid may-late dec, ,104,2953,E DP 32ft FT DW SH RS ,CA,9.3,N,Burney,,
-122.282,41.353,Mcbride Springs,NF,530.926.4511/530.226.2500, , ,11,4915,NH ND 10ft VT DW NS NR ,CA,6.1,SW,Mt. Shasta,,
-120.003,37.597,McCabe Flat,BLM, , ,swim in river,3, ,NH ND 18ft PT NW NS NR L$ ,CA,8,N ,Mariposa,,
-122.245,40.936,McCloud Bridge,NF,530.275.1587/530.226.2500, , ,17, ,NH ND 16ft FTVT DW NS NR ,CA,7.3,E,Lakehead,,
-120.276,37.609,McClure Point Rec Area,UTIL, , , ,100, ,E DP 40ft FT DW SH ,CA,10.8,NE,Snelling,,
-120.711,37.416,McConnell State Rec Area,SRA,209.394.7755,all year, ,21, ,NH ND 30ft FT DW SH RS ,CA,2.5,S ,Ballico,,
-121.735,40.538,Mccumber Reservoir,CP, , , , ,4081,NH ND VT DW NS ,CA,3.3,NW,Viola,,
-118.785,37.564,McGee Creek,NF,760.935.4213,early may-late oct, ,28,7552,NH ND 34ft FT DW NS RS ,CA,11.8,SE,Mammoth Lakes,,
-119.102,34.814,McGill,NF, ,early jun-late sep, ,78,7484,NH ND 16ft PT NW NS RS L$ ,CA,8.9,W,Frazier Park,,
-119.257,34.227,McGrath State Beach,SB,805.968.1033,early mar-late dec, ,173, ,NH DP 34ft FT DW SH RS ,CA,5,NW,Oxnard,,
-120.646,39.459,McMurray,NF, , , , ,5902,NR ,CA,24,NE,Nevada City,,
-120.501,39.408,Meadow Lake,NF,530.994.3401/530.265.4531, , ,25,7320,NH ND VT NW NS NR ,CA,17.8,W,Truckee,,
-120.213,40.036,Meadow View,NF,530.836.2575/530.283.2050,mid apr-mid sep, ,6,6106,NH ND 30ft VT NW NS NR N$ ,CA,5.8,W,Doyle,,
-120.005,38.186,Meadowview,NF,209.965.3434/209.533.3671, , ,100,5643,NH ND 22ft FT DW NS NR ,CA,18.9,NE,Mi-Wuk,,
-115.902,33.489,Mecca Beach  - Salton Sea State Rec Area,SRA,760.393.3052,early jun-late dec, ,110, ,FT DW RS ,CA,11.6,SE,Mecca,,
-121.029,37.065,Medeiros State Rec Area - San Luis Reservoir,SRA,209.826.1197,all year, , , ,NH ND PT DW NS NR ,CA,13.4,S ,Gustine,,
-121.595,41.588,Medicine,NF,530.667.2246/530.233.5811,mid jun-mid sep, ,22,6736,NH DP 30ft VT DW NS NR L$ ,CA,14.4,W,Tionesta,,
-118.785,37.564,Mee Creek,NF,760.873.2500/760.873.2400, , ,28,7552,NR ,CA,11.8,SE,Mammoth Lakes,,
-120.123,39.035,Meeks Bay,NF,530.543.2600/530.543.2600,mid may-mid oct, ,40,6280,NH ND 20ft FT DW NS RS ,CA,0.1,NE,Meeks Bay,,
-121.466,36.118,Memorial Park,NF,831.385.5434/805.961.5778, , ,8,2129,NH ND VT NW NS NR N$ ,CA,18.7,SW,Greenfield,,
-120.81,40.55,Merrill,NF,530.257.4188/530.257.2151,mid may-late aug, ,183,5138,WES DP 35ft FT DW NS RS PA ,CA,12.4,NW,Susanville,,
-117.367,36.964,Mesquite Spring - Death Valley National Park,NP,760.786.3200,all year, ,30,1811,NH DP 30ft FT DW NS NR L$ ,CA,44.5,NW,Furnace Creek,,
-118.191,34.38,Messenger Flats, , , , ,10,5833,NH ND VT DW NS L$ ,CA,12,N,La Canada,,
-115.435,35.132,Mid Hills - Mojave National Preserve,NP,760.252.6100, , ,26,5600,NH 22ft VT DW NR ,CA,,,,,
-122.95,39.253,Middle Creek,NF,707.275.2361/530.934.3316, , ,41, ,NH ND 41ft VT DW NS NR ,CA,6.4,N ,Upper Lake,,
-119.937,38.627,Middle Creek/Expansion,CP, , , ,35,8200,NH ND NS ,CA,49.2,NE,Jackson,,
-119.166,34.55,Middle Lion,NF,805.646.4348/805.961.5778, , ,8,3209,NH ND 30ft VT NW NS NR L$ ,CA,8.3,NE,Ojai,,
-119.58,34.51,Middle Santa Ynez,NF,805.967.3481/805.961.5778, ,hot springs nearby,13,1608,NH ND VT NW NS NR L$ ,CA,6.2,N,Summerland,,
-120.301,38.583,Middlefork Cosumnes,NF,209.295.4251/530.622.5061,mid may-mid nov,Site no 19 is lg camp at end of campground,19,5259,NH ND 30ft VT NW NS NR ,CA,28.7,E,Placerville,,
-114.659,33.727,Midland LTVA,BLM, , ,long term vistor area - no facil, , ,NH DP NT NW NS NR ,CA,8.6,NW,Blythe,,
-114.915,32.716,MidwayÂ Â OHV,BLM,760.337.4400, ,paved road- toilets, , ,NH ND VT NW NS N$ ,CA,16.4,W,Winterhaven,,
-119.19,34.854,Mil Potrero Park,CP, , , , ,5674,NH ,CA,14.1,W,Frazier Park,,
-122.654,39.356,Mill Creek,NF,530.934.1250/530.934.3316, , ,5,1634,NH ND NS NR ,CA,6,W,Stonyford,,
-121.188,39.914,Mill Creek,NF,530.283.0555/530.283.2050, , ,9,5322,NH ND 58ft VT DW NS NR ,CA,12.9,W,Quincy,,
-119.937,38.302,Mill Creek,NF,209.965.3434/209.533.3671, , ,17,6348,NH ND 22ft VT NW NS NR L$ ,CA,27.5,NE,Mi-Wuk,,
-124.097,41.703,Mill Creek - Del Norte Coast Redwoods State Park,SP,707.465.7332,mid may-mid sep, ,145, ,NH DP 31ft FT DW SH NR ,CA,6.5,SE,Crescent City,,
-120.288,41.277,Mill Creek Falls,NF,530.279.6116/530.233.5811,mid jun-mid oct, ,15,5738,NH ND 25ft VT DW NS NR L$ ,CA,11.7,E,Likely,,
-119.095,36.857,Mill Flat,NF,559.338.2251/559.784.1500, , ,5, ,NH ND 25ft VT NW NS NR ,CA,38.2,E,Frseno,,
-122.706,39.318,Mill Valley,NF,530.934.1250/530.934.3316, , ,15,4147,NH ND 32ft VT DW NS NR ,CA,9.5,SW,Stonyford,,
-118.145,34.219,Millard,NF,818.899.1900/626.574.1613, , ,5,2028,VT DW NR ,CA,4.9,N ,Pasadena,,
-123.456,40.453,Miller Spring,NF,530.628.5227/530.226.2500, , ,5,4705,NR ,CA,2.5,E,Mad River,,
-119.682,37.025,Millerton Lake State Rec Area,SRA,559.822.2332,all year, ,148, ,NH DP 36ft FT DW SH RS ,CA,3.1,NE,Friant,,
-118.493,37.378,Millpond,CP,760-873-5342, , ,60,4432,WE FT DW ,CA,5.5,W,Bishop,,
-121.269,39.707,Milsap Bar,NF,530.534.6500/530.283.2050,mid apr-mid oct, ,20,1690,NH ND 16ft VT NW NS NR N$ ,CA,3.9,E,Brush Creek,,
-119.084,37.64,Minaret Falls,NF,760.924.5500/760.873.2400, , ,26,7651,NH ND 40ft VT DW NS NR ,CA,6.1,W,Mammoth Lakes,,
-120.924,39.101,Mineral Bar - Auburn State Rec Area,SRA,530.885.4527, , ,18, ,NH ND 24ft PT NW NS NR ,CA,1.6,E,Colfax,,
-122.812,40.852,Minersville,NF,530.275.1587/530.226.2500, , ,18,2372,NH ND 36ft FT DW NS NR ,CA,10.8,SW,Trinity Center,,
-120.038,35.035,Miranda Pines,NF,805.925.9538/805.961.5778, , ,3,3757,NH ND VT NW NS NR N$ ,CA,23.2,E,Santa Maria,,
-114.514,34.727,Moabi Regional Park,CP,760.326.3831,all year,coin showers - on Colorado River - unlimited tent camping - 24 hr security gate,150, ,WES DP FT DW SH ,CA,10.1,SE,Needles,,
-120.342,37.83,Moccasin Point - Don Pedro State Rec Area,SP,209.852.2396, , ,89, ,WE DP FT DW SH NR ,CA,6.1,W,Groveland,,
-120.659,37.659,Modesto Reservoir,CP,209.874.9540, , ,150, ,E DP 45ft FT DW SH ,CA,5.7,E,Waterford,,
-117.275,34.515,Mojave Narrows Regional Park,CP,760.245.2226,all year, ,69,2772,WES DP FT DW SH ,CA,1.7,SE,Victorville,,
-117.264,34.331,Mojave River Forks Regional Park,CP,760.389.2322,all year, ,65,3173,WE DP 40ft FT DW SH ,CA,6.9,S ,Hesperia,,
-120.271,38.478,Mokelumne,NF,209.295.4251/530.622.5061, , ,13,9180,NH ND VT NW NS NR ,CA,28.7,E,Jackson,,
-120.271,38.478,Mokelumne River,NF,209.795.1381/209.533.3671, , ,13,3244,NH ND VT NW NS NR ,CA,14.9,E,West Point,,
-118.994,37.357,Mono Creek,NF,559.855.5355/559.297.0706,early jun-mid sep, ,14,7520,NH ND 16ft VT NW NS RS PA ,CA,12.3,NE,Lakeshore,,
-119.018,37.326,Mono Hot Springs,NF,559.855.5355/559.297.0706,early jun-mid sep, ,28,6572,NH ND VT NW NS RS PA ,CA,10,NE,Lakeshore,,
-120.881,35.275,Montana de Oro State Park,SP,805.528.0513,all year, ,40, ,NH ND 27ft VT DW NS RS ,CA,4.3,SW,Los Oso,,
-118.11,34.343,Monte Cristo,NF,818.899.1900/626.574.1613, , ,19,3609,NH ND 30ft VT DW NS NR L$ ,CA,10.7,NE,La Canada,,
-121.862,36.595,Monterey County Fairgrounds RV,CP,831.657.9347, , , , ,WES DW SH ,CA,1.8,E,Monterey,,
-121.861,36.59,Monterey Pines RV Military,MIL,831.656.7563, ,military only - do not use our lat/lon - contact them for directions and info, , ,RS ,CA,2,E,Monterey,,
-122.224,40.889,Moore Creek,NF,530.275.1587/530.226.2500,mid may-mid sep, ,12, ,NH ND 16ft VT DW NS NR ,CA,8.2,E,Lakehead,,
-120.267,38.48,Moore Creek,NF,209.795.1381/209.533.3671,mid may-late aug, ,8,3343,NH ND VT NW NS RS ,CA,26,SE,Pollock Pines,,
-118.661,36.786,Moraine - Kings Canyon National Park,NP,559.565.3341, , ,120,4767,NH DP 30ft FT DW SH NR ,CA,0.6,SE,Cedar Grove,,
-120.841,35.333,Morro Bay State Park,SP,805.772.2560,all year, ,135, ,WE DP 35ft FT DW SH RS ,CA,2.3,S ,Morro Bay,,
-120.883,35.428,Morro Strand State Beach,SP,805.772.2560,mid may-late dec, ,76, ,NH ND 24ft FT DW NS RS ,CA,4.7,NW,Morro Bay,,
-118.655,36.246,Moses Gulch - State Forest,SF, , , ,7,5548,NH ND PT DW NS NR N$ ,CA,12.1,NE,Springville,,
-118.746,37.438,Mosquito Flat,NF,760.924.5500/760.873.2400, ,walk to sites only,10,10200,NH ND VT NW NS NR N$ ,CA,19.1,SE,Mammoth Lakes,,
-119.913,38.516,Mosquito Lakes,NF,209.795.1381/209.533.3671, , ,11,8074,NH ND 40ft VT NW NS NR L$ ,CA,7.7,NE,Bear Valley,,
-122.712,42.075,Mount Ashland,NF, , , ,9,6600,NH ND VT NW NS NR ,CA,,,,,
-121.702,37.001,Mount Madonna,CP,408.355.2201, , ,111, ,E DP 31ft FT DW ,CA,7.4,W,Gilroy,,
-118.567,37.224,Mountain Glen,NF,760.873.2500/760.873.2400,mid may-mid sep, ,5,8560,NH ND VT NW NS NR ,CA,13.5,SW,Bishop,,
-117.729,34.395,Mountain Oak,NF,661.296.9710/626.574.1613,mid may-late oct, ,17,6230,NH DP 18ft FT DW NS RS ,CA,5.9,NW,Wrightwood,,
-119.107,34.81,Mt Pinos,NF,661.245.3731/805.961.5778, , ,19,7740,NH ND PT NW NS NR ,CA,9.3,W,Frazier Park,,
-121.933,37.851,Mt. Diablo State Park,SP,925.837.2525,all year,3 campgrounds,84,1644,NH 20ft FT DW RS ,CA,8.3,SE,Walnut Creek,,
-118.034,34.383,Mt. Pacifico,NF,818.899.1900/626.574.1613,mid may-mid sep, ,9,7116,NH ND VT NW NS NR ,CA,17.4,N,Pasadena,,
-123.075,41.356,Mule Bridge,NF, , , ,4,2848,NH ND VT NW NS NR ,CA,11.7,SW,Etna,,
-121.395,36.005,Nacimiento,NF,831.385.5434/805.961.5778, , ,8,1657,NH ND 25ft VT NW NS NR ,CA,29.5,SE,Big Sur,,
-124.006,40.021,Nadelos,BLM, , , ,8,1932,NH ND VT DW NS NR L$ ,CA,3.3,W,Whitethorn,,
-122.586,38.583,Napa County Fairgrounds,CP,707.942.5111, , , , ,E DP SH ,CA,0.4,NW,Calistoga,,
-122.278,38.296,Napa Valley Expo,CP,707.253.4900, ,RV park, , ,WES DP FT DW SH ,CA,0.5,E,Napa,,
-123.665,39.171,Navarro River Redwoods State Park,SP,707 937.5804, , ,35, ,NH 30ft VT DW NR ,CA,6.6,SE,Albion,,
-122.957,39.442,Navy Camp - Lake Pillsbury,NF,707.275.2361/530.934.3316, , ,20,1837,NH ND 20ft VT DW NS NR ,CA,24.2,NE,Ukiah,,
-119.584,37.432,Nelder Grove,NF,559.877.2218/559.297.0706, , ,10,5397,NH ND 22ft VT NW NS NR N$ ,CA,48.5,N,Fresno,,
-122.345,40.849,Nelson Point,NF,530.275.1587/530.226.2500,early jun-late aug, ,9, ,NH ND 16ft VT NW NS RS L$ ,CA,2.9,N ,OBrien,,
-119.292,34.803,Nettle Springs,NF,661.245.3731/805.961.5778, , ,9,4455,NH ND 22ft VT NW NS NR ,CA,18.7,S ,Maricopa,,
